makeId,modelId,makeName,usage,year,IDV_Category,Price,modelName
20064,42323,Hyundai,Used,2013,I,9804.3333,Veloster
20053,42324,Chevrolet,Used,2017,I,11294.1111,Sonic
20041,21165,Subaru,Used,2013,I,12289.8,Forester
20088,22331,Toyota,Used,2015,I,11032.0,Yaris
20041,21295,Subaru,Used,2015,I,11192.5,Impreza
20068,21828,Kia,Used,2017,I,11000.0,Rio
20077,28283,Nissan,Used,2014,I,9405.875,Cube
20015,21138,Ford,Used,2013,I,6924.2,Focus
20030,34227059,Mitsubishi,Used,2019,I,12097.6667,MirageG4
20089,21758,Volkswagen,Used,2014,I,11264.1364,Passat
20073,21447,Mazda,Used,2013,I,9498.0,Mazda6
20068,32883,Kia,Used,2014,I,10624.3636,ForteKoup
20017,34743,Honda,Used,2013,I,14963.7727,Crosstour
20060,53260,FIAT,Used,2017,I,12320.1667,500e
20089,21242,Volkswagen,Used,2015,I,13450.7895,Golf
20077,56530,Nissan,Used,2014,I,11662.16,RogueSelect
20001,48964,Acura,Used,2013,I,12679.6667,ILXHybrid
20053,47275,Chevrolet,Used,2015,I,7542.5556,Spark
20085,22402,Scion,Used,2014,I,11005.0667,xB
20228,42803,smart,Used,2013,I,6470.0,ForTwoElectricDrive
20053,49403,Chevrolet,Used,2015,I,11913.9474,CaptivaSport
20077,21764,Nissan,Used,2016,I,14425.7778,Quest
20077,52670,Nissan,Used,2014,I,7981.6667,NV200
20064,49764,Hyundai,Used,2014,I,11187.1667,ElantraGT
20077,22274,Nissan,Used,2015,I,8000.0,Versa
20005,20444,BMW,Used,2013,I,13806.9474,328
20068,32883,Kia,Used,2013,I,8839.3421,ForteKoup
20073,21488,Mazda,Used,2013,I,9818.6667,Mazda5
20053,35025,Chevrolet,Used,2013,I,11815.8462,Volt
20088,50903,Toyota,Used,2013,I,14748.2,RAV4EV
20068,21828,Kia,Used,2015,I,8959.6,Rio
20077,35968,Nissan,Used,2016,I,13323.3333,Leaf
20089,50644,Volkswagen,Used,2013,I,10931.7447,JettaSportWagen
20068,56687,Kia,Used,2015,I,12632.8571,SoulEV
20015,27661,Ford,Used,2016,I,13033.0,FusionHybrid
20053,49403,Chevrolet,Used,2015,I,10500.0,CaptivaSport
20017,35363,Honda,Used,2014,I,11818.8571,CRZ
20064,50643,Hyundai,Used,2014,I,13733.9286,SantaFeSport
20015,26506,Ford,Used,2013,I,14949.4074,0
20088,22331,Toyota,Used,2014,I,8074.5,Yaris
20012,20991,Dodge,Used,2014,I,10233.6667,Dart
20088,47567,Toyota,Used,2014,I,12636.5714,Priusc
20017,21128,Honda,Used,2016,I,12713.75,Fit
20017,20848,Honda,Used,2014,I,12702.0,CivicHybrid
20089,21242,Volkswagen,Used,2016,I,14178.5,Golf
20060,20483,FIAT,Used,2014,I,7087.6667,500
20012,21249,Dodge,New,2019,II,28092.9825,GrandCaravan
20075,36083,MINI,Used,2013,I,12342.6667,Countryman
20077,35968,Nissan,Used,2015,I,9406.0,Leaf
20017,35363,Honda,Used,2016,I,14597.5,CRZ
20008,20303,Chrysler,Used,2017,I,14614.9231,200
20073,21492,Mazda,Used,2013,I,13845.5862,MazdaSpeed3
20068,21828,Kia,Used,2016,I,9502.4,Rio
20088,47567,Toyota,Used,2016,I,14933.3421,Priusc
20073,21488,Mazda,Used,2015,I,12087.8571,Mazda5
20088,35084961,Toyota,Used,2017,I,13587.6364,YarisiA
20053,30028443,Chevrolet,Used,2016,I,13450.1707,MalibuLimited
20030,21466,Mitsubishi,Used,2015,I,7288.9286,Mirage
20089,56107,Volkswagen,Used,2016,I,12950.1964,eGolf
20060,20483,FIAT,Used,2018,I,13100.0,500
20228,42803,smart,Used,2015,I,6580.8148,ForTwoElectricDrive
20089,30003099,Volkswagen,Used,2016,I,14429.9048,GolfSportWagen
20073,21447,Mazda,Used,2015,I,12782.0,Mazda6
20089,27321,Volkswagen,Used,2014,I,12335.3929,CC
